data_coleta,data_entrega,empresa,cnpj,categoria,tipo,assunto,materialidade,termos_encontrados,link,fingerprint
2026-09-21T18:25:36,2026-09-18T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Alteração na composição da Diretoria Estatutária e no Comitê de Auditoria Riscos e Compliance da Companhia,alta,auditor,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1569617&numSequencia=1094323&numVersao=1,b38dbc8c2c583276
2026-09-21T18:25:36,2026-09-17T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Assembleia,AGE,nan,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1569304&numSequencia=1094010&numVersao=1,cedff5af9a754fd9
2026-09-21T18:25:36,2026-09-17T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Assembleia,AGE,"Alterar o caput do artigo 5º do Estatuto Social da Companhia para refletir o aumento de capital da Companhia aprovado em reunião do Conselho de Administração realizada em 16 de julho de 2026||Autorizar os Administradores da Companhia a praticar todos os atos necessários para dar continuidade e garantir a efetivação da recuperação judicial da Companhia e das demais matérias||Consolidar o Estatuto Social da Companhia, de forma a refletir a alteração indicada no item (4) acima||Eleger 1 (um) novo membro efetivo do Conselho Fiscal da Companhia e seu respectivo suplente||Ratificar o número de membros que compõem o Conselho de Administração da Companhia para o mandato que se encerrará com a realização da Assembleia Geral Ordinária que deliberará acerca das demonstraçõe||Ratificar o pedido de Recuperação Judicial da Companhia, em conjunto com determinadas de suas subsidiárias, ajuizado no dia 16 de agosto de 2026, perante o Juízo de Falências e Recuperações Judiciais",alta,recuperação judicial|falência|ação judicial,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1569301&numSequencia=1094007&numVersao=1,8714d5b0c83f40ef
2026-09-21T18:25:36,2026-09-17T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Assembleia,AGE,nan,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1569302&numSequencia=1094008&numVersao=1,cedff5af9a754fd9
2026-09-21T18:25:36,2026-09-17T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Emissões de Notas Comerciais Escriturais para Colocação Privada,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1569306&numSequencia=1094012&numVersao=1,6929e550bd3c5b06
2026-09-21T18:25:36,2026-09-17T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Assembleia,AGE,"Alterar o caput do artigo 5º do Estatuto Social da Companhia para refletir o aumento de capital da Companhia aprovado em reunião do Conselho de Administração realizada em 16 de julho de 2026||Autorizar os Administradores da Companhia a praticar todos os atos necessários para dar continuidade e garantir a efetivação da recuperação judicial da Cia e demais materias||Consolidar o Estatuto Social da Companhia, de forma a refletir a alteração indicada no item (4) acima||Eleger 1 (um) novo membro efetivo do Conselho Fiscal da Companhia e seu respectivo suplente||Ratificar o número de membros que compõem o Conselho de Administração da Cia para o mandato que se encerrará com a realização da Assembleia Geral Ordinária que deliberará acerca das demonstrações fin||Ratificar o pedido de Recuperação Judicial da Cia, em conjunto com determinadas de suas subsidiárias, ajuizado no dia 16 de agosto de 2026, perante o Juízo de Falências e Recuperações Judiciais",alta,recuperação judicial|falência|ação judicial,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1569303&numSequencia=1094009&numVersao=1,e0acf9f2e1c3cd83
2026-09-21T18:25:36,2026-09-17T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Assembleia,AGDEB,Ata da Assembleia Geral de Debenturistas da 11ª emissão de debentures,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1569126&numSequencia=1093832&numVersao=1,d9f96a20321ac527
2026-09-21T18:25:36,2026-09-17T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Assembleia,AGDEB,Termo de não instalação da Assembleia Geral de Debenturistas da 10ª emissão de debentures,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1569125&numSequencia=1093831&numVersao=1,68db79566de6a9e7
2026-09-21T18:25:36,2026-09-16T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Procedimentos para reenquadramento do Valor Mínimo de Cotação das ações da Companhia,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1568759&numSequencia=1093465&numVersao=1,314d74fb5230978e
2026-09-21T18:25:36,2026-09-16T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,Esclarecimentos acerca de notícia veiculada na mídia,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1568758&numSequencia=1093464&numVersao=1,845af9bb87ccbc0b
